"","cn","uid","unitcd","plot_status_cd","lat","lon","ecosubcd"
"1","59775678010538","34_5_553_2004",1,1,40.10079,-74.678585," 232Ac"
"2","59776445010538","34_11_1121_2004",1,1,39.368511,-74.917174," 232Ab"
"3","59779575010538","34_37_748_2004",1,1,40.940073,-74.759745," 221Ae"
"4","65399781010538","34_1_670_2005",1,1,39.449416,-74.767032," 232Ab"
"5","65394600010538","34_5_12_2005",1,1,39.613735,-74.451359," 232Ab"
"6","65395056010538","34_5_519_2005",1,1,39.892379,-74.483634," 232Ab"
"7","65398554010538","34_35_1165_2005",1,1,40.462729,-74.555372," 221Da"
"8","65402580010538","34_37_123_2005",1,1,41.296562,-74.669638," 221Bd"
"9","59776658010538","34_15_745_2004",1,1,39.652217,-74.935871," 232Ab"
"10","59778277010538","34_29_284_2004",1,1,39.694347,-74.303709," 232Ab"
"11","89642253010661","26_35_20084_2004",3,1,43.943199,-84.771162,"212Hg"
"12","89775752010661","26_61_29076_2004",2,1,46.61806,-88.938958,"212Sn"
"13","89845983010661","26_13_20316_2004",2,1,46.737943,-88.166595,"212Sq"
"14","20651511010478","47_155_65_2003",5,1,35.884826,-83.349365,"221Jb"
"15","89795806010661","26_41_29049_2004",1,1,45.866486,-86.509486,"212Rc"
"16","31432826010690","30_23_86138_2008",5,1,46.120965,-113.133623,"M332Bd"
"17","20636994010478","47_109_12_2004",1,1,35.210908,-88.570283,"231Bk"
"18","20638245010478","47_173_10_2004",5,1,36.324721,-83.970446,"221Ja"
"19","20652582010478","47_19_67_2003",5,1,36.31817,-82.052131,"M221Dc"
"20","20651093010478","47_139_114_2003",5,1,35.095703,-84.573899,"M221Dd"
"21","20635049010478","47_59_31_2004",5,1,36.144769,-82.860695,"M221Ab"
"22","20634870010478","47_51_24_2004",4,1,35.125854,-86.027752,"231Cd"
"23","20637529010478","47_135_15_2004",2,1,35.784715,-87.920918,"223Eg"
"24","11857114010690","30_29_94260_2006",1,1,48.730568,-114.414696,"M333Cb"
"25","11847581010690","30_1_89037_2006",5,1,45.30982,-113.48335,"M332Ej"
"26","11879718010690","30_89_87893_2006",1,1,47.711817,-115.608473,"M333Da"
"27","31453931010690","30_77_81418_2008",4,1,47.587015,-113.144843,"M333Ce"
"28","11859993010690","30_39_86633_2006",3,1,46.520359,-113.680512,"M332Bg"
"29","11860123010690","30_39_87909_2006",3,1,46.026664,-113.652523,"M332Bc"
"30","11861002010690","30_41_81637_2006",2,1,48.208801,-109.651647,"331Ka"
"31","11863150010690","30_47_90133_2006",1,1,47.73677,-114.332636,"M333Bc"
"32","12362832010690","30_77_95215_2007",4,1,46.40575,-112.498602,"M332Dj"
"33","11867935010690","30_57_86172_2006",5,1,45.285388,-111.83537,"M332Ej"
"34","11868234010690","30_57_87992_2006",5,1,45.287993,-112.154065,"M332Ekk"
"35","11881527010690","30_97_88887_2006",2,1,45.508554,-109.974678,"M331Ar"
"36","11871096010690","30_63_87442_2006",3,1,46.748207,-113.560895,"M332Bg"
"37","11871174010690","30_63_87490_2006",3,1,47.5015,-113.735652,"M333Cb"
"38","11880256010690","30_89_95520_2006",1,1,47.237841,-114.352907,"M333Bc"
"39","31426451010690","30_1_82379_2008",5,1,45.452836,-113.779826,"M332Ehh"
"40","89814222010661","26_51_20084_2004",3,1,43.818217,-84.434023,"212Hh"
"41","89801210010661","26_41_20071_2004",1,1,46.143367,-86.531658,"212Ra"
"42","89805380010661","26_43_20267_2004",2,1,45.918023,-87.8902,"212Tb"
"43","89766964010661","26_55_20090_2004",3,1,44.573748,-85.394028,"212He"
"44","89720834010661","26_117_20135_2004",4,1,43.266806,-85.29342,"222Jc"
"45","89709988010661","26_109_20265_2004",1,1,45.529214,-87.400995,"212Te"
"46","89734574010661","26_95_20116_2004",1,1,46.422541,-85.525663,"212Ra"
"47","89717643010661","26_113_20186_2004",3,1,44.20903,-84.894366,"212Hc"
"48","89606749010661","26_83_20120_2004",2,1,47.924565,-88.970004,"212Lb"
"49","89815820010661","26_53_20150_2004",2,1,46.618631,-89.922965,"212Jb"
"50","55899485010538","33_7_440_2003",2,1,44.760869,-71.599724,"M211Ae"
"51","55902086010538","33_9_95_2003",2,1,43.899221,-71.935869,"M211Bc"
"52","55907241010538","33_9_190_2003",2,1,44.126834,-72.004375,"M211Bb"
"53","55905045010538","33_9_915_2003",2,1,43.934648,-71.485345,"M211Ad"
"54","55893910010538","33_1_553_2003",3,1,43.426981,-71.433647,"221Al"
"55","55909358010538","33_11_436_2003",3,1,42.885499,-71.955537,"M211Bd"
"56","55910465010538","33_13_493_2003",3,1,43.119811,-71.450814,"221Ai"
"57","62155519010538","33_3_871_2004",2,1,44.028021,-71.318355,"M211Ad"
"58","62154844010538","33_3_1121_2004",2,1,43.742008,-71.310225,"221Al"
"59","62159832010538","33_7_20_2004",2,1,44.808111,-71.422518,"M211Ae"
"60","62159278010538","33_7_552_2004",2,1,44.580206,-71.338718,"M211Ae"
"61","62163491010538","33_9_994_2004",2,1,44.064089,-71.960788,"M211Bb"
"62","62153651010538","33_1_275_2004",3,1,43.595353,-71.633364,"M211Bc"
"63","62156755010538","33_5_564_2004",3,1,42.741377,-72.25005,"M211Bd"
"64","62164851010538","33_11_467_2004",3,1,43.16958,-71.947917,"M211Bd"
"65","62164726010538","33_11_556_2004",3,1,42.746245,-71.460145,"221Ai"
"66","62167182010538","33_15_15_2004",3,1,42.898958,-71.260849,"221Ai"
"67","62167290010538","33_15_931_2004",3,1,43.176926,-71.281208,"221Ai"
"68","62168328010538","33_19_1114_2004",3,1,43.29021,-72.299868,"M211Bc"
"69","62231243010538","33_3_489_2005",2,1,43.816668,-71.145115,"221Al"
"70","62237823010538","33_7_1212_2005",2,1,44.660065,-71.166784,"M211Ae"
"71","62241642010538","33_9_319_2005",2,1,43.805458,-71.819178,"M211Bc"
"72","62241470010538","33_9_487_2005",2,1,44.234448,-71.498806,"M211Ad"
"73","62233979010538","33_5_1132_2005",3,1,42.947099,-72.451153,"M211Bb"
"74","62242626010538","33_11_318_2005",3,1,42.836898,-71.748063,"221Ai"
"75","62244300010538","33_13_386_2005",3,1,43.383613,-71.451616,"221Al"
"76","62242832010538","33_13_864_2005",3,1,43.526945,-71.794078,"M211Bc"
"77","62245235010538","33_15_194_2005",3,1,42.978597,-71.091202,"221Ai"
"78","62246414010538","33_19_804_2005",3,1,43.369735,-72.123345,"M211Bc"
"79","55880834010538","33_3_97_2002",2,1,44.236103,-71.137889,"M211Ad"
