plt_cn,condid,invyr,statecd,countycd,plot,smplnnbr,measyear,forflthk,ltrlrthk,forflthkn,ltrlrthkn,forflthks,ltrlrthks,forflthke,ltrlrthke,forflthkw,ltrlrthkw,vstnbr,txtrlyr1,txtrlyr2,dpthsbsl,soils_statcd
59580077010478,2,2004,5,67,52,3,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
59580077010478,1,2004,5,67,52,4,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
59538300010478,1,2004,5,141,62,2,2003,0.175,0.15,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,1,1,2,1.4,1
59538300010478,1,2004,5,141,62,3,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
59538300010478,1,2004,5,141,62,4,2003,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,1,0,0,0.1,1
59604725010478,1,2004,5,7,64,2,2003,0.1,0.05,0.1,0,0.1,0.1,0.1,0.1,0.1,0,1,1,1,0.5,1
59604725010478,1,2004,5,7,64,3,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
59604725010478,1,2004,5,7,64,4,2003,0.1,0.05,0.1,0,0.1,0.1,0.2,0.1,0,0,1,0,0,0.6,1
59415742010478,1,2004,5,79,41,2,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
59415742010478,1,2004,5,79,41,3,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
59415742010478,1,2004,5,79,41,4,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
59529396010478,1,2004,5,127,63,2,2003,0.325,0.175,0.3,0.1,0.4,0.2,0.3,0.2,0.3,0.2,1,1,2,5,1
59529396010478,1,2004,5,127,63,3,2003,0.175,0.075,0.1,0.1,0.1,0,0.2,0.1,0.3,0.1,1,0,0,1.5,1
59529396010478,1,2004,5,127,63,4,2003,0.175,0.075,0.2,0,0.2,0.1,0.1,0.1,0.2,0.1,1,0,0,1,1
59538926010478,1,2004,5,143,69,2,2003,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1
59538926010478,1,2004,5,143,69,3,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6,1
59538926010478,1,2004,5,143,69,4,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3,1
59539730010478,2,2004,5,143,67,2,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
59539730010478,1,2004,5,143,67,3,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6,1
59539730010478,2,2004,5,143,67,4,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
59574316010478,1,2004,5,53,50,2,2003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1.2,1
59574316010478,1,2004,5,53,50,3,2003,0.15,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1,0,0,1.6,1
59574316010478,1,2004,5,53,50,4,2003,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,1,0,0,1.5,1
59530646010478,1,2004,5,129,58,2,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
59530646010478,1,2004,5,129,58,3,2003,0.1,0.075,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,1,0,0,0.4,1
59530646010478,1,2004,5,129,58,4,2003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0,0,0.3,1
59607092010478,1,2004,5,13,43,2,2003,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,5,1
59607092010478,1,2004,5,13,43,3,2003,0.225,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,1,0,0,5,1
59607092010478,1,2004,5,13,43,4,2003,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0,5,1
59607374010478,1,2004,5,13,51,2,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
59607374010478,1,2004,5,13,51,3,2003,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,1,0,0,5,1
